iter	MultiClass
0	1.541836553
1	1.482547638
2	1.43434904
3	1.392301471
4	1.35317149
5	1.318045996
6	1.287060775
7	1.260299326
8	1.235036331
9	1.212873016
10	1.191459399
11	1.170506807
12	1.151439429
13	1.13506309
14	1.119384031
15	1.104150409
16	1.090643981
17	1.079049439
18	1.068125262
19	1.058364893
20	1.048854785
21	1.040478513
22	1.032303343
23	1.024004542
24	1.017277599
25	1.010962136
26	1.005238071
27	0.9988107419
28	0.9934309125
29	0.9893196097
30	0.9849434387
31	0.9791075114
32	0.9746779275
33	0.9700818067
34	0.9662388269
35	0.9623693395
36	0.9587987263
37	0.9554087373
38	0.9519432715
39	0.9486798224
40	0.9456810833
41	0.9425945119
42	0.9400696733
43	0.9372653594
44	0.9350628477
45	0.9328845911
46	0.930652402
47	0.9290646395
48	0.9275671252
49	0.9248493536
